Unit Number,Current monthly payment With GST
5056,2377.3566666666666
5057,2377.3566666666666
5058,2377.3566666666666
5059,2377.3566666666666
5060,2377.3566666666666
5061,2377.3566666666666
60196,2312.9175
60197,2312.9175
60198,2312.9175
60199,2312.9175
60200,2312.9175
60201,2312.9175
60202,2312.9175
60203,2312.9175
60204,2312.9175
60205,2312.9175
60206,2312.9175
60207,2312.9175
60211,2312.91
60212,2312.91
60213,2312.91
60214,3200.09
60215,3200.09
60216,3200.09
60217,3200.09
60218,3200.09
60219,3200.09
60220,3200.09
60222,3185.443
60223,3185.443
60224,3185.443
60225,3185.443
60226,3185.443
60227,3185.443
60228,3185.443
60229,3185.443
60230,3185.443
60231,3185.443
60232,3185.443
60233,3185.443
60234,3185.443
60235,3185.443
60236,3185.443
60237,3185.443
60238,3185.443
60239,3185.443
60240,3185.443
60241,3185.443
60242,3185.443
60243,3185.443
60244,3185.443
60245,3185.443
60246,3185.443
60247,3185.443
60248,3185.443
60249,3185.443
60250,3185.443
60251,3185.443
60252,2881.1195
60253,2881.1195
60254,2881.1195
60255,2881.1195
60256,2881.1195
60257,2881.1195
60258,2881.1195
60259,2881.1195
60260,2881.1195
60261,2881.1195
60262,2881.1195
60263,2881.1195
60264,2881.1195
60265,2881.1195
60266,2881.1195
60267,2881.1195
60268,2881.1195
60269,2881.1195
60270,2881.1195
60271,2881.1195
60272,2880.952631578947
60273,2880.952631578947
60274,2880.952631578947
60275,2880.952631578947
60277,2880.952631578947
60278,2880.952631578947
60279,2880.952631578947
60280,2880.952631578947
60281,2880.952631578947
60282,2881.2745454545457
60283,2880.952631578947
60284,2880.952631578947
60285,2880.952631578947
60286,2880.952631578947
60287,2880.952631578947
60288,2880.952631578947
60289,2880.952631578947
60290,2880.952631578947
60291,2880.952631578947
60292,2880.952631578947
60293,2881.0115384615387
60294,2881.0115384615387
60295,2881.0115384615387
60296,2881.0115384615387
60297,2881.0115384615387
60298,2881.0115384615387
60299,2881.0115384615387
60300,2881.0115384615387
60301,2881.0115384615387
60302,2881.0115384615387
60303,2881.0115384615387
60304,2881.2745454545457
60305,2881.0115384615387
60306,2881.0115384615387
60307,2881.2745454545457
60308,2881.2745454545457
60309,2881.2745454545457
60310,2881.2745454545457
60311,2881.2745454545457
60312,2881.2745454545457
60313,2881.2745454545457
60314,2881.2745454545457
60315,2881.2745454545457
60322,3723.9441666666667
60323,3723.9441666666667
60324,3723.9441666666667
60325,3723.9441666666667
60326,3723.9441666666667
60327,3723.9441666666667
60328,3723.9441666666667
60329,3723.9441666666667
60330,3723.9441666666667
60331,3723.9441666666667
60332,3723.9441666666667
60333,3723.9441666666667
60360,3522.446
60361,3522.446
60362,3522.446
60363,3522.446
60364,3522.446
60365,3336.776363636364
60366,3336.776363636364
60367,3336.776363636364
60368,3336.776363636364
60369,3336.776363636364
60370,3336.776363636364
60371,3767.8766666666666
60372,3767.8766666666666
60373,3767.8766666666666
60374,3703.94
60375,3740.98
60376,3740.98
60377,3740.98
60378,3775.3799999999997
60379,3775.3799999999997
60380,3775.3799999999997
60381,3775.3799999999997
60382,3775.3799999999997
60383,3775.3799999999997
60384,3775.3799999999997
60385,3775.3799999999997
60386,3775.3799999999997
60387,3661.11
60388,3661.11
60389,3661.11
60390,4276.06
60391,4449.38
60392,4449.38
60393,4449.38
60394,4449.38
60395,4254.31
60396,4255.71
60397,4255.71
60398,4255.71
60399,4255.71
60400,4255.71
60401,4254.71
60402,4491.95
60403,4491.95
60404,4483.34
60405,4483.34
60406,4483.34
60407,4483.34
60408,4483.34
60411,3336.776363636364
60412,3336.776363636364
60413,3336.776363636364
60414,3336.776363636364
60415,3336.776363636364
5034,2261.86
5035,2261.86
5037,2261.86
5039,2261.86
60135,2167.813
60136,2167.813
60137,2167.813
60138,2167.813
60139,2167.813
60140,2167.813
60141,2167.813
60142,2167.813
60143,2167.813
60144,2167.813
60174,1264.824
60176,1264.824
60177,1264.824
60178,1264.824
60179,1264.824
60180,1264.824
60181,1264.824
60182,1264.824
60183,1264.824
60184,1264.824
60185,1264.824
60186,1264.824
60187,1264.824
60188,1264.824
60189,1264.824
60190,1264.824
60191,1264.824
60192,1264.824
60193,1264.824
60194,1264.824
60208,2570.3733333333334
60209,2570.3733333333334
60210,2570.3733333333334
60316,2884.81
60317,2884.81
60318,2995.86
60319,2995.86
60320,2995.86
60321,2995.86
60345,2995.86
60346,2995.86
60347,2995.86
60348,2995.86
60349,3172.0060000000003
60350,3112.13
60351,3112.13
60352,3112.13
60353,3172.0060000000003
60354,3172.0060000000003
60355,3112.13
60356,3112.13
60357,3172.0060000000003
60358,3172.0060000000003
60359,3192.44
