city,province,latitude,longitude
ACHESON,AB,53.5522,-113.7627
CALGARY,AB,51.045606,-114.057541
WINNIPEG,MB,49.895537,-97.138458
MISSISSAUGA,ON,43.589623,-79.644388
BAKERSFIELD,CA,35.373871,-119.019463
BRAMPTON,ON,43.685832,-79.759937
CACTUS,TX,36.052257,-102.002399
BALZAC,AB,51.2126,-114.0076
DRAYTON VALLEY,AB,53.220555,-114.983213
SMOKY LAKE,AB,54.285772,-112.240531
STONY PLAIN,AB,53.531013,-113.99985
ROCKY VIEW,AB,51.369935,-114.014186
BRANDON,MB,49.851114,-99.960892
CHATSWORTH,CA,34.259571,-118.602325
WINKLER,MB,49.1802,-97.9391
DEVON,AB,50.72414,-3.660779
WHITECOURT,AB,54.136784,-115.654408
VERGREVILLE,AB,53.494,-112.0538
OSSIAN,IN,43.146192,-91.764664
BARRHEAD,AB,54.168867,-114.474795
DAYSLAND,AB,52.868043,-112.265681
MORDEN,MB,49.1923,-98.1143
BELLEVILLE,ON,48.817671,6.098268
ETOBICOKE,ON,43.643556,-79.565633
SHEBOYGAN FALLS,WI,43.728892,-87.81141
OXNARD,CA,34.197631,-119.180381
ST ANDREWS,MB,50.2625,-96.9842
NEEPAWA,MB,50.231935,-99.463726
DONNA,TX,26.170208,-98.052238
LAREDO,TX,27.505625,-99.507452
FOWLER,CA,36.630506,-119.678469
PORT HUENEME,CA,34.147756,-119.195156
ROCKY VIEW COUNTY,AB,51.369935,-114.014186
DELANO,CA,35.768842,-119.247053
SANTA MARIA,CA,-29.686051,-53.806921
EDINBURG,TX,55.953346,-3.188375
RED DEER,AB,52.269063,-113.814146
BROOKS,AB,50.5657,-111.8978
"CACTUS,",TX,36.052257,-102.002399
VEMILION,AB,53.3539,-110.8586
JOUSSARD,AB,55.397884,-115.952337
MANVILLE,AB,53.3402,-111.1752
PLAINFIELD,IN,41.608671,-88.205434
CAMROSE,AB,53.013131,-112.840576
QUEBEC,QC,52.476089,-71.825867
NORQUAY,SK,51.884226,-102.090746
YORKTON,SK,51.212045,-102.461243
GALVESTON,TX,29.3057,-94.793325
SELMA,CA,36.5708,-119.6121
CONRICH,AB,51.094769,-113.863159
KANKAKEE,IL,41.12539,-87.848682
LOST HILLS,CA,35.632387,-119.677707
