Location,Latitude,Longitude
DC 31,4.68042985,-74.14631966788512
CALGARY TERMINAL,50.96148425,-113.97747561599013
"R3C 2E6, WINNIPEG, MB",49.8999008,-97.20783645
"T4B 1A1, AIRDRIE, AB",51.2820708125,-114.0144287625
"43015, DELAWARE, OH",40.29333137507303,-83.06821128432327
WINNIPEG TERMINAL,49.92972845,-97.19260194118112
"BROOKS, AB",50.571027,-111.893005
"78045, LAREDO, TX",27.600411672677595,-99.48989349344262
"R0J 1H0, NEEPAWA, MB",50.22985737142857,-99.46950874761905
"ETOBICOKE, ON",43.6435559,-79.5656326
"ST. ALBERT, AB",53.633239,-113.628845
"76501, TEMPLE, TX",31.095776485768504,-97.31312694459203
"V1L 6B9, NELSON, BC",49.4951315,-117.2963397
"T6B 1Z3, EDMONTON, AB",53.5462055,-113.491241
"48231, DETROIT, MI",42.3315509,-83.0466403
"CALGARY, AB",51.0456064,-114.057541
"ROCKY VIEW, AB",51.3699347,-114.014186
"T1R 1C6, BROOKS, AB",50.5746288,-111.8966743
"ROCKY VIEW COUNTY, AB",51.3699347,-114.014186
TCL ACHESON,53.52788015,-113.77333327241641
"48507, FLINT, MI",43.0161693,-83.6900211
"OXNARD, CA",34.1976308,-119.180381
"V0B 2G0, SPARWOOD, BC",49.730711183333334,-114.88451755555556
"V0B 1M0, FERNIE, BC",49.508041226923076,-115.06216638076923
"TRAIL, BC",49.0945296,-117.7097659
"T7Z 2J7, STONY PLAIN, AB",53.533084040909095,-113.98701067272728
"DELTA, BC",49.0846258,-123.057938
"ENGLEHART, ON",47.8255744,-79.8733624
"78557, HIDALGO, TX",26.10301485892857,-98.25031827589285
"T1P 1A1, STRATHMORE, AB",51.0406849,-113.39779585
"ANDOVER, MA",42.65717,-71.1408776
"54303, GREEN BAY, WI",44.5126379,-88.0125794
"N9Y 2E5, KINGSVILLE, ON",42.067388019999996,-82.74766092
RONA X4,47.2679169,23.288205
6080 WALMART,20.99712695,-89.67387389523144
TORONTO TERMINAL,43.6830012,-79.613438
"GARDEN CITY, CO",40.3946072,-104.6893108
